sitename,county,aqi,distance_km
基隆,基隆市,40,26.095396215474366
汐止,新北市,43,12.638815387900216
新店,新北市,30,8.122405606895317
土城,新北市,33,9.785671680028571
板橋,新北市,36,7.038379772278164
新莊,新北市,33,8.582526801796721
菜寮,新北市,33,4.319722938188845
林口,新北市,34,15.62573657649448
淡水,新北市,27,14.660803127224057
士林,臺北市,36,6.175862517612322
中山,臺北市,36,1.8821994759989644
萬華,臺北市,36,0.9208277141456253
古亭,臺北市,31,3.2775693240589256
松山,臺北市,38,6.2113069542982915
大同,臺北市,55,1.7624122187741527
桃園,桃園市,31,22.16116842085451
大園,桃園市,38,31.712777573415913
觀音,桃園市,39,43.760453109494236
平鎮,桃園市,38,33.266715799239094
龍潭,桃園市,29,36.54716753297495
湖口,新竹縣,31,50.916312276186645
竹東,新竹縣,24,55.031326910682516
新竹,新竹市,36,61.16514900586397
頭份,苗栗縣,37,73.57349304100755
苗栗,苗栗縣,56,88.4864116866534
三義,苗栗縣,40,106.42508108451295
豐原,臺中市,47,117.72022822898482
沙鹿,臺中市,46,132.44793061660286
大里,臺中市,51,135.30212816056536
忠明,臺中市,53,133.28442520844385
西屯,臺中市,39,134.07977754037785
彰化,彰化縣,42,147.14350397510347
線西,彰化縣,46,146.98257806204032
二林,彰化縣,55,167.74561406888236
南投,南投縣,64,151.67729106429414
斗六,雲林縣,67,178.20718374472852
崙背,雲林縣,94,185.94946086562783
新港,嘉義縣,50,204.0885934745327
朴子,嘉義縣,35,217.9789096914546
臺西,雲林縣,38,200.49357783088783
嘉義,嘉義市,77,207.06690350743207
新營,臺南市,66,228.77408087801274
善化,臺南市,77,248.18108764145643
安南,臺南市,82,258.54798742969723
臺南,臺南市,78,264.11726184563463
美濃,高雄市,59,260.68572835589123
橋頭,高雄市,91,282.8717982221097
仁武,高雄市,98,288.6030419268503
鳳山,高雄市,95,293.7639432541197
大寮,高雄市,94,297.6608724551489
林園,高雄市,85,306.9283294720523
楠梓,高雄市,95,284.28125533767644
左營,高雄市,93,291.74064744277626
前金,高雄市,81,296.13811198469455
前鎮,高雄市,94,298.20430138426
小港,高雄市,76,300.92434288337415
屏東,屏東縣,75,284.0287784454415
潮州,屏東縣,56,297.0978756523921
恆春,屏東縣,39,351.48946334794323
臺東,臺東縣,27,257.6165677627419
花蓮,花蓮縣,28,119.9932263004416
陽明,臺北市,43,15.056037140300072
宜蘭,宜蘭縣,35,40.58606551376498
冬山,宜蘭縣,32,53.95197243759331
三重,新北市,56,3.615170322476379
中壢,桃園市,52,31.563888110793403
竹山,南投縣,68,166.88282323526198
永和,新北市,29,3.4255174151063543
復興,高雄市,91,297.61749755107627
埔里,南投縣,39,132.21269103452707
馬祖,連江縣,50,199.31696627842797
金門,金門縣,44,330.7955700237191
馬公,澎湖縣,43,257.12973290004203
關山,臺東縣,31,225.59140631307247
麥寮,雲林縣,42,192.67832089703398
富貴角,新北市,47,27.759363794237924
大城,彰化縣,47,183.1236555164561
臺灣大道,臺中市,54,131.6584686933484
員林,彰化縣,54,154.59895552949573
林森,臺南市,87,264.3738734887148
南投（鹿谷）,南投縣,26,164.91386025456524
屏東（琉球）,屏東縣,68,321.4099303719924
新北（樹林）,新北市,40,17.36539963902058
屏東（枋山）,屏東縣,49,322.18075931429684
