序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,is_indoor,nearest_station,aqi_value,distance_m,distance_km
1,新竹縣,,,121.073,24.386,五峰活動中心,大隘村、花園村、桃山村、竹林村,110,"水災,震災,土石流",張兒,03-5851001,是,否,是,True,三義,31,31796.16072479372,31.796160724793722
3,新竹縣北埔鄉,南坑村,9鄰大南坑1-5號,121.0561,24.6725,南坑村集會所暨南外社區活動中心,南坑村、外坪村,20,"水災,震災,土石流",葉貴霖,03-5805355,否,否,否,True,竹東,34,8274.476846618958,8.274476846618958
6,桃園市復興區,霞雲里,6鄰22-1號,121.406238,24.814018,霞雲社區活動中心,霞雲里,36,"水災,震災,土石流,海嘯",呂品秀,03-3821500#124,是,否,否,True,新北（樹林）,38,15129.006963977015,15.129006963977016
8,桃園市復興區,奎輝里,3鄰羅馬路3段355號,121.334302,24.797047,奎輝里活動中心,奎輝里,50,"水災,震災,土石流,海嘯",呂品秀,03-3821500#124,是,否,否,True,龍潭,36,14031.383095853622,14.031383095853622
10,連江縣莒光鄉,大坪村,57-1號,119.977206,25.956666,東莒老人活動中心,大坪村,0,,曹以樹,0836-8914621,否,否,否,True,馬祖,61,21970.894018429066,21.970894018429068
12,連江縣莒光鄉,西坵村,莒光指揮部國軍文康中心,119.932125,25.97828,莒光指揮部國軍文康中心,西坵村,0,,朱永元指揮官,0836-89217,否,否,否,True,馬祖,61,19548.315203397822,19.548315203397824
13,連江縣莒光鄉,田沃村,52號,119.944922,25.972438,田沃老人活動中心,田沃村,0,,曹以樹,0836-89146,否,否,否,True,馬祖,61,20101.718101539765,20.101718101539767
14,連江縣莒光鄉,青帆村,1號,119.933712,25.969995,青帆老人活動中心,青帆村,150,,曹以樹,0836-89416,否,否,否,True,馬祖,61,20445.952261366663,20.445952261366664
15,連江縣莒光鄉,青帆村,18號,119.933934,25.970819,敬恆國中小禮堂,青帆村,200,,陳玉嬌,0836-88254,否,否,否,True,馬祖,61,20352.992133004984,20.352992133004985
16,連江縣莒光鄉,大坪村,4號,119.97711,25.957484,東莒國小綜合教室,大坪村,200,,林湘官,0836-89043203,否,否,否,True,馬祖,61,21879.76027820848,21.87976027820848
18,桃園市觀音區,上大里,8鄰大湖路一段510號,121.147333,24.978234,上大社區活動中心,上大村、富源村、崙坪村,0,,魏秀有,919103049,否,否,否,True,平鎮,45,6376.929336718861,6.376929336718861
19,桃園市觀音區,武威里,4鄰武威一路10號,121.073317,25.028242,武威社區活動中心,武威村、三和村、保生村,0,,廖介文,972196113,否,否,否,True,觀音,53,1257.0267233657703,1.2570267233657704
20,桃園市觀音區,塔腳里,4鄰塔腳路116號,121.154708,25.049298,塔腳社區活動中心,塔腳村、廣福村、保障村,0,,莊林乾,932948680,否,否,否,True,大園,42,4994.690430210468,4.9946904302104675
21,桃園市觀音區,廣福里,福山路二段403巷6號,121.153383,25.019018,廣福社區活動中心,廣福村、新坡村、草漯村,0,,陳秀鳳,4983945,否,否,否,True,大園,42,6797.505283647587,6.797505283647587
22,桃園市觀音區,草新里,新生路1462號,121.142939,25.045941,草漯國民小學,草漯村、樹林村、保障村,100,,羅淑貞,4830160#51,否,否,否,True,觀音,53,6173.188888934638,6.1731888889346385
23,桃園市觀音區,上大里,8鄰大湖路一段540號,121.146755,24.979129,上大國民小學,上大村、富源村、崙坪村,100,,張秀琪,4901174#510,否,否,否,True,平鎮,45,6473.385032018571,6.473385032018571
24,桃園市觀音區,崙坪里,崙坪里297之1號,121.162676,24.999596,崙坪國民小學,崙坪村、大同村、上大村,100,,吳曉芬,4981286#51,否,否,否,True,平鎮,45,6654.0313166248725,6.654031316624873
25,桃園市觀音區,富林里,大觀路三段466號,121.1285,25.062195,富林國民小學,富林村、廣興村、草漯村,100,,王文昌,4839049#51,否,否,否,True,觀音,53,5471.0525364220775,5.471052536422078
26,桃園市觀音區,樹林里,觀音鄉樹林村新村路二段十二號,121.128468,25.062176,樹林國民小學,樹林村、草漯村、富林村,100,,張麗君,4830414#51,否,否,否,True,觀音,53,5467.198865861006,5.467198865861006
27,桃園市觀音區,觀音里,觀新路56號,121.083597,25.028281,觀音區公所綠資源中心,觀音村、三和村、武威村,0,,許誌峰,925629102,否,否,否,True,觀音,53,810.7609501237766,0.8107609501237767
29,高雄市前鎮區,竹中里,廣西路57號,120.32,22.615,高雄市前鎮區光華國民小學,全區綜合調度,300,"水災,震災,土石流,海嘯",總務組,7222846,否,否,是,True,復興,73,1076.3720037833766,1.0763720037833766
30,臺東縣大武鄉,大武村,民族街2巷49號,120.905497,22.365009,大武國小,收容大鳥村1-6鄰，15-16鄰,350,"水災,震災,土石流,海嘯",陳佩瑜,089-791826,是,否,是,True,屏東（枋山）,54,28597.08434369139,28.59708434369139
31,苗栗縣頭份市,尖下里,尖豐路305號,120.894048,24.64686,尖山國小操場,尖山里、尖下里、廣興里,200,"水災,震災,土石流,海嘯",李鴻明,037-624474#29,否,是,是,True,頭份,35,5562.935060801006,5.562935060801006
32,高雄市小港區,鳳源里,鳳林路207號,120.343,22.527,高雄市小港區鳳林國民小學,鳳林、鳳源,300,"水災,震災,土石流,海嘯",陳宜亨,8712367＊710,否,否,否,True,小港,99,4334.045757232097,4.334045757232096
45,屏東縣霧臺鄉,大武村,2鄰小山巷7號,120.754782,22.757534,大武社區活動中心,大武村,30,"水災,土石流",歐光夫,932451102,是,否,是,True,美濃,97,26919.255620170075,26.919255620170077
46,花蓮縣秀林鄉,和平村,和平112號,121.748879,24.308073,和平國小,和中部落,250,"水災,土石流",蔡金郎,03-868113,是,否,否,True,冬山,40,36178.04659963392,36.178046599633916
47,屏東縣瑪家鄉,佳義村,泰平巷11號,120.630874,22.653475,佳義社區活動中心,佳義村,0,"水災,土石流",葉明仁,08-7990209,是,否,是,True,屏東,99,14839.06976083111,14.839069760831109
48,彰化縣員林市,中東里,山腳路五段185巷20號,120.599689,23.971414,中東社區活動中心,崙雅里 振興里 林厝里 出水里 湖水里 大峰里 鎮興里 浮圳里 西東里 南東里 中東里 東北里 共12里,30,"水災,土石流,海嘯",黃勝裕,8347171,否,否,否,True,員林,54,3870.500728734453,3.870500728734453
49,彰化縣員林市,三和里,育英路103號,120.574848,23.961057,崇實高工體育館,中正里 和平里 忠孝里 仁愛里 三橋里 三愛里 三信里 三多里 共8里,80,"水災,震災,土石流,海嘯",張文福,8347171,否,否,否,True,員林,54,1188.0494602584781,1.1880494602584781
50,彰化縣彰化市,東芳里,彰馬路45號,120.516345,24.062538,東芳國小,東芳里南安里刺桐里磚?里,145,"水災,震災,土石流,海嘯",楊娣雅,72221411710,否,否,否,True,彰化,57,2588.595473494374,2.5885954734943737
51,彰化縣員林市,三義里,員鹿路245巷112號,120.563531,23.95268,三義社區活動中心,三義里 新生里 南平里 南興里 源潭里 大埔里 共6里,200,"水災,土石流,海嘯",?淑娟,8347171,否,否,否,True,員林,54,987.8863123302322,0.9878863123302322
52,彰化縣員林市,三和里,大同路一段345號,120.579502,23.963213,大同國中,中正里 和平里 忠孝里 仁愛里 三橋里 三愛里 三信里 三多里 共8里,200,"水災,震災,土石流,海嘯",張文福,8347171,否,否,否,True,員林,54,1669.8494322405083,1.6698494322405084
53,彰化縣員林市,萬年里,員水路二段313號,120.581692,23.955187,員林農工體育館,崙雅里 振興里 林厝里 出水里 湖水里 大峰里 鎮興里 浮圳里 西東里 南東里 中東里 東北里 共12里,200,"水災,震災,土石流,海嘯",陳宗虎,8347171,否,否,否,True,員林,54,2012.4104210676528,2.0124104210676528
54,彰化縣員林市,南東里,員東路二段12號,120.587309,23.961879,員林市員東國小,崙雅里 振興里 林厝里 出水里 湖水里 大峰里 鎮興里 浮圳里 西東里 南東里 中東里 東北里 共12里,200,"水災,震災,土石流,海嘯",盧佳玉,8347171,否,否,否,True,員林,54,2454.960743582874,2.4549607435828738
55,彰化縣員林市,南興里,南潭路2號,120.557085,23.979184,員林市員林國中活動中心,三義里 新生里 南平里 南興里 源潭里 大埔里 共6里,200,"水災,震災,土石流,海嘯",盧佳玉,8347171,否,否,否,True,員林,54,2044.6818747954392,2.0446818747954394
56,彰化縣員林市,中正里,三民東街221號,120.57921,23.960059,員林市員林國小,中正里 和平里 忠孝里 仁愛里 三橋里 三愛里 三信里 三多里 共8里,300,"水災,震災,土石流,海嘯",陳淑莉,8347171,否,否,否,True,員林,54,1639.3470946827765,1.6393470946827766
58,屏東縣屏東市,北勢里,信義路262號,120.49197,22.68523,屏東市信義國小,北勢里,965,"水災,震災",朱健華,08-7383628#14,是,是,是,True,屏東,99,1404.7976848005678,1.4047976848005679
60,彰化縣彰化市,福田里,彰南路五段8號,120.613159,24.068651,大快官藝文館,福田里、台鳳里、竹巷里、快官里,45,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否,True,彰化,57,7291.0515925966365,7.291051592596636
61,彰化縣彰化市,香山里,彰南路二段512巷97號,120.589342,24.08054,彰德國中勤學樓、育英樓穿堂,香山里,45,"水災,震災,土石流,海嘯",楊娣雅,4.72E+11,否,否,否,True,彰化,57,5122.633875467681,5.122633875467681
62,彰化縣彰化市,介壽里,介壽新村21號,120.551727,24.070873,介壽社區活動中心,介壽里,45,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否,True,彰化,57,1169.967683757001,1.169967683757001
63,彰化縣彰化市,國聖里,中山路三段608號,120.568089,24.092292,國聖國小,國聖里文化里龍山里中山里中正里中庄里三村里古夷里,54,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否,True,彰化,57,3972.1637649218997,3.9721637649218997
64,彰化縣彰化市,石牌里,田坑路一段9號,120.614942,24.058558,石牌國小,石牌里,63,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否,True,彰化,57,7512.095693478374,7.512095693478375
65,彰化縣彰化市,茄苳里,茄苳路二段292號,120.547944,24.10378,茄苳社區活動中心,茄苳里、寶?里、茄南里,64,"水災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否,True,彰化,57,4234.875276480922,4.234875276480922
66,彰化縣彰化市,田中里,田中路125號,120.604547,24.085743,三民國小,田中里,77,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否,True,彰化,57,6771.683994216526,6.771683994216526
67,彰化縣彰化市,崙平里,平和七街66號,120.529851,24.068206,南北管戲曲音樂館,崙平里,77,"水災,震災,土石流,海嘯",施政興,04-7639509,否,否,否,True,彰化,57,1211.4295571214082,1.2114295571214082
68,彰化縣彰化市,牛埔里,彰南路三段226號,120.597531,24.081368,牛埔社區活動中心,牛埔里,78,"水災,震災,土石流,海嘯",楊娣雅,4.72E+11,否,否,否,True,彰化,57,5944.504758778929,5.944504758778929
69,彰化縣彰化市,桃源里,公園路二段102之1號,120.559047,24.072547,桃源社區活動中心,桃源里卦山里東興里華陽里復興里,90,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否,True,彰化,57,1924.2559292916662,1.9242559292916663
70,彰化縣彰化市,南興里,中山路一段189巷49號,120.533189,24.056604,南興社區活動中心,南興里,93,"水災,震災,土石流,海嘯",楊娣雅,04-72221411718,否,否,否,True,彰化,57,1341.8310945228081,1.3418310945228082
71,彰化縣彰化市,快官里,彰南路四段566號之1,120.612013,24.068422,快官社區活動中心,台鳳里、竹巷里、快官里,115,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否,True,彰化,57,7173.623541965601,7.173623541965601
72,彰化縣彰化市,福山里,福山街168號,120.571394,24.082668,福山社區活動中心,福山里安溪里,177,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否,True,彰化,57,3554.755914731261,3.554755914731261
73,彰化縣彰化市,延和里,埔西街111號,120.538252,24.059306,延和社區活動中心,延和里延平里建寶里,184,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否,True,彰化,57,812.4085250469817,0.8124085250469817
74,彰化縣彰化市,阿夷里,泰和路二段145巷1號,120.55168,24.092496,泰和國小,阿夷里、下?里、興北里、信義里、民生里、陽明里、萬安里、新興里、新華里、光復里、和調里,203,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否,True,彰化,57,3111.0380176894796,3.1110380176894794
75,彰化縣彰化市,延和里,埔西街107號,120.538251,24.059274,彰興國中,延和里延平里建寶里,242,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否,True,彰化,57,815.6853825349023,0.8156853825349023
76,彰化縣彰化市,向陽里,向陽街168號,120.52814,24.062723,信義國中小,向陽里南美里平和里,399,"水災,震災,土石流,海嘯",楊娣雅,04-7221411710,否,否,否,True,彰化,57,1408.135103183597,1.4081351031835971
77,彰化縣和美鎮,雅溝里,南軒路359巷7號,120.492521,24.099707,雅溝社區活動中心,雅溝,150,"水災,土石流,海嘯",張敬堂,7552354,否,否,否,True,線西,62,4268.5299578089125,4.268529957808912
79,新竹縣湖口鄉,信勢村,成功路360號,121.0376,21.9002,湖口鄉信勢國小禮堂,信勢村、德盛村、波羅村,385,"震災,土石流,海嘯",林志華,03-5993911,是,否,是,True,恆春,40,26475.584899082805,26.475584899082804
80,屏東縣滿州鄉,港口村,港口路42號,120.8271,21.9912,港口社區活動中心,港口村,50,"水災,土石流",楊秀蘭,08-8801356,是,否,是,True,恆春,40,5384.771204748069,5.384771204748069
81,屏東縣恆春鎮,城南里,文化路79號,120.7475,22.0031,恆春國中收容所,城南里,1400,"水災,震災,土石流,海嘯",郭君毓,08-8892039,是,否,是,True,恆春,40,6569.686849757017,6.569686849757017
83,屏東縣滿州鄉,永靖村,庄內路33巷8-1號,120.8092,22.0052,永靖社區活動中心,永靖村,30,"水災,土石流,海嘯",潘一福,08-8802248,是,否,否,True,恆春,40,5622.563605946444,5.6225636059464446
84,屏東縣滿州鄉,永靖村,新庄路25號,120.817377,22.005679,永港國民小學,永靖村,100,"水災,土石流,海嘯",王嚲駿,08-8801125#14,是,是,是,True,恆春,40,6034.721406102025,6.034721406102025
85,屏東縣恆春鎮,城北里,北門路39巷26號,120.7466,22.0064,恒春國小收容所,城北里,200,"水災,震災,土石流,海嘯",蔡迪偉,08-8892035,是,否,是,True,恆春,40,6909.493560008453,6.909493560008452
86,屏東縣恆春鎮,城西里,西門路146號,120.7442,22.0087,僑勇國小收容所,城西里,430,"水災,震災,土石流,海嘯",周淑琴,08-8893034,是,否,是,True,恆春,40,7263.543825525084,7.263543825525084
87,屏東縣滿州鄉,滿州村,中山路39號,120.838101,22.020382,滿州國民小學,滿州村,100,"水災,震災,土石流,海嘯",徐培祥,08-8801162#14,是,是,是,True,恆春,40,8566.329949334775,8.566329949334776
89,臺東縣蘭嶼鄉,紅頭村,臺東縣蘭嶼鄉紅頭村1-1號,121.5546,22.0211,舊蘭嶼國小,紅頭村,100,"水災,土石流,海嘯",周孋珠,（089）731633,是,否,否,True,恆春,40,79370.9348784004,79.37093487840039
90,屏東縣滿州鄉,滿州村,中山路107號,120.8371,22.0233,滿州社區活動中心,滿州村,30,"水災,土石流,海嘯",潘啟元,08-8801375,是,否,是,True,恆春,40,8769.54610258819,8.76954610258819
91,屏東縣滿州鄉,滿州村,中山路152號,120.8377,22.0243,屏東縣滿州鄉圖書館,滿州村、永靖村,100,"水災,土石流,海嘯",王淑娟,08-8801105#302,是,否,是,True,恆春,40,8895.87152958624,8.895871529586241
